Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
8fa8ad32		label open_safe: # play sound "safe_open_sound.ogg" euklid 'О, получилось!' hide safe jump start13	game/script.rpy	32	"[what]"
6f1820ea		label wrong_code: #play sound "wrong_code_sound.ogg" # Воспроизведение звука неверного кода 'Ой попробую ещё раз' jump safe	game/script.rpy	32	"[what]"
c0bf6117		hotspot(1050, 447, 79, 45) action If(numbll == 1, If(numbl == 1, If(numbc == 2, If(numbr == 0, Hide("safe_code"), call (access_denied)), call (access_denied)), call (access_denied)), call (access_denied))	game/script.rpy	93	"[what]"
access_denied_edc9e7e7	euklid	Ой попробую ещё раз	game/script.rpy	135	euklid "[what]"
start_34369362	autokrat	Евклид, не забывай своё предназначение. Империя рассчитывает на тебя.	game/script.rpy	148	autokrat "[what]"
start_14c0be65	sanya	Грубый мужской голос раз за разом раздавался в моей голове.	game/script.rpy	150	sanya "[what]"
start_542f2a6c	sanya	Хотелось укрыться от него, сделать всё что угодно, лишь бы не слышать уже выученные наизусть строки.	game/script.rpy	152	sanya "[what]"
start_a0175a2e	sanya	Я открыл глаза...	game/script.rpy	154	sanya "[what]"
start_55e1d9b1	sanya	Яркий, ослепляющий свет освещал всю комнату, вокруг меня стояли пустые койки, кажется совсем недавно на них ещё кто-то лежал. Из окна раздавалось ели слышимое щебетание птиц.	game/script.rpy	165	sanya "[what]"
start_2b75555e	sanya	Наконец-то тишина... Как же я долго этого ждал.	game/script.rpy	167	sanya "[what]"
start_435381b4		Вдруг больничная дверь открывается и в палату входит симпатичная блондинка.	game/script.rpy	173	"[what]"
start_762e7eee		Она медленно идет прямо к моей койке, смотря себе под ноги и напевая какую-то незамысловатую мелодию.	game/script.rpy	175	"[what]"
start_0130ff7a	sanya	Эм, здравствуй...Ты совсем не изменилась, Алла, опять витаешь в облаках.	game/script.rpy	181	sanya "[what]"
start_cf37d977		Блондинка на секунду замирает на месте, направляет свой взор на меня и громко, что есть мочи начинает кричать.	game/script.rpy	185	"[what]"
start_834e83e4	alla	САША, ТЫ НАКОНЕЦ-ТО ОЧНУЛСЯ!	game/script.rpy	189	alla "[what]"
start_8f24b532	sanya	Звонкий девичий крик на секунду оглушил меня. Да что там крик, это было больше похоже на вой противопожарной сирены. Моя подруга детства была самым громким человеком, которого я когда-либо знал.	game/script.rpy	191	sanya "[what]"
start_e286b34d	sanya	Тишина была недолгой...	game/script.rpy	193	sanya "[what]"
start_f967015d		Девушка, всхлипывая продолжила говорить.	game/script.rpy	195	"[what]"
start_11d2e16c	alla	Ты не представляешь, как я за тебя волновалась, как все волновались. Мы начали думать, что ты не очнёшься, а твой младший брат уже занял комнату, в которой ты жил. Как же хорошо, что ты очнулся!	game/script.rpy	199	alla "[what]"
start_3004e4be	sanya	Пожалуйста, можешь успокоится, у меня до сих пор болит голова.	game/script.rpy	202	sanya "[what]"
start_8e596cb6	alla	Ах, конечно, прости меня. Что я могу для тебя сделать?	game/script.rpy	206	alla "[what]"
start_8c3f53f9	sanya	Для начала позови врача.	game/script.rpy	208	sanya "[what]"
start_ea127de0	alla	Ой, точно, надо было это сделать с самого начала. Я сейчас вернусь, никуда не уходи.	game/script.rpy	210	alla "[what]"
start_f420d774		Девушка быстро побежала в обратном направлении, попутно хлопнув дверью.	game/script.rpy	217	"[what]"
start_04f32599	sanya	Пока эта шумная особа не вернулась, надо осмотреться.	game/script.rpy	219	sanya "[what]"
start_b41e6b47	sanya	Я попытался встать, поначалу ноги меня совсем не слушали, но спустя время я наконец-то сделал свои первые шаги.	game/script.rpy	221	sanya "[what]"
start_21cdb6a2	sanya	Встав с койки, я подошёл к маленькому настенному зеркалу.	game/script.rpy	223	sanya "[what]"
start_43e418ae	sanya	На меня смотрел худой, бледный, короткостриженый мужчина с коричневыми волосами и ярко зелеными глазами.	game/script.rpy	227	sanya "[what]"
start_ddf514db	sanya	Осмотрев палату, ничего полезного я не нашёл, кроме странных розовых тапочек.	game/script.rpy	232	sanya "[what]"
divarication_b_7d0cd7a2	sanya	Ну уж нет, лучше пойду босиком, чем в этом.	game/script.rpy	252	sanya "[what]"
divarication_b_e4321654		Когда я вышел в коридор, передо мной открылся огромный холл больницы.	game/script.rpy	260	"[what]"
divarication_a_917d2f4a		Недолго думая, я надел эти тапочки и вышел в коридор.	game/script.rpy	266	"[what]"
divarication_a_90dc4d3a		Вдруг, огромный, мимо проходящий, мужчина остановился около меня.	game/script.rpy	277	"[what]"
divarication_a_07ff892e	npc	Эй, сопляк, тебя не учили, что брать чужое нельзя? А ну, быстро снял мои любимые тапочки!	game/script.rpy	279	npc "[what]"
divarication_a_9c5a0299	sanya	Меня переполнила злоба. Как он смеет так со мной обращаться. Но понимая, что против такого бугая у меня мало шансов, я послушно выполнил его просьбу	game/script.rpy	281	sanya "[what]"
divarication_a_76c6ee59	sanya	Простите, пожалуйста, я просто перепутал. Вот ваши прекрасные тапочки.	game/script.rpy	283	sanya "[what]"
divarication_a_f6aa81db	sanya	Получив от меня своё драгоценное сокровище, здоровяк пошёл дальше. А передо мной открылся огромный холл больницы.	game/script.rpy	287	sanya "[what]"
left_437a5d28	sanya	Я повернул налево, бродя между бесчисленного количества палат, я уперся в дверь с надписью «ВЫХОД»	game/script.rpy	312	sanya "[what]"
left_5aa1089c	sanya	Вдруг кто-то схватил меня за руку и силой заставил развернуться.	game/script.rpy	316	sanya "[what]"
left_3677aff7		Это была Алла.	game/script.rpy	320	"[what]"
left_5e2612df	alla	Поймала, хе-хе. От меня так просто не убежишь.	game/script.rpy	324	alla "[what]"
right_f559839a	sanya	Бродя вдоль коридора, я в конце концов уперся в тупик, поэтому вернулся назад.	game/script.rpy	332	sanya "[what]"
top_ff8d77a8	sanya	Я решил пойти прямо, пока не дошёл до двери.	game/script.rpy	338	sanya "[what]"
enter_dc9a4f19	sanya	Открыв дверь, я сразу почувствовал смердящий запах, от которого у меня начали слезиться глаза.	game/script.rpy	358	sanya "[what]"
enter_0e4d94da	sanya	Это был мужской туалет, пока меня не вырвало, я решил вернуться обратно.	game/script.rpy	360	sanya "[what]"
start3_b7a6c0ba	sanya	Фух, Алла, это всего лишь ты...	game/script.rpy	367	sanya "[what]"
start3_c0e9104c	alla	Всего лишь я!? Опять хочешь попасть на больничную койку?	game/script.rpy	371	alla "[what]"
start3_79837393	sanya	Нет, конечно, ты просто меня очень напугала.	game/script.rpy	373	sanya "[what]"
start3_ba642fbd	alla	Значит я страшная, да!? Видимо, тебе очень нравится в больнице.	game/script.rpy	377	alla "[what]"
start3_05fe946f	sanya	Умеешь ты делать из мухи слона.	game/script.rpy	379	sanya "[what]"
start3_566cd93f	alla	Так я еще и истеричка...	game/script.rpy	381	alla "[what]"
start3_8fc4d558	sanya	Чтобы хоть как-то спастись от гнева девушки, я взял её за руку.	game/script.rpy	383	sanya "[what]"
start3_a20cefa7		...	game/script.rpy	387	"[what]"
start3_4592c7aa	sanya	Алла, доктор меня, наверное, уже обыскался, я вернусь в палату.	game/script.rpy	389	sanya "[what]"
start3_fd02ede8	alla	Хорошо, на этот раз я тебя прощаю. Буду ждать на улице, поторапливайся.	game/script.rpy	394	alla "[what]"
start3_6a517767	sanya	Оставив девушку, я пошел в сторону своей палаты.	game/script.rpy	397	sanya "[what]"
start3_274d78ec	sanya	Зайдя в помещение, я увидел ждущего меня доктора. Он проверил мою температуру и измерил пульс.	game/script.rpy	405	sanya "[what]"
start3_9e2600ef	sanya	Не обнаружив никаких аномалий, доктор разрешил мне выписаться из больницы.	game/script.rpy	407	sanya "[what]"
start3_0db86b2d	sanya	Когда он вышел, я смог переодеться в ту одежду, которую успела мне принести Алла.	game/script.rpy	411	sanya "[what]"
start3_27735ab9	sanya	Взяв с собой всё необходимое, я направился к выходу.	game/script.rpy	415	sanya "[what]"
start3_a20cefa7_1		...	game/script.rpy	423	"[what]"
start3_8a628b8d	alla	Я уже думала, что простою здесь вечность.	game/script.rpy	427	alla "[what]"
start3_06880937	sanya	Не преувеличивай, меня не было от силы минут 15.	game/script.rpy	429	sanya "[what]"
start3_947eb3c6	alla	Ладно-ладно, пойдем скорее в институт, мы ещё успеваем на последнюю пару.	game/script.rpy	433	alla "[what]"
start3_f1e435f1	sanya	Какой ещё институт!? Меня только что выписали из больницы, я должен отдыхать!	game/script.rpy	435	sanya "[what]"
start3_0ff02c61	alla	Ты в прошлом году так отдохнул, что сейчас находишься на грани отчисления. В деканате сказали, что если ты сегодня не явишься на пары, то можешь больше в институт не приходить.	game/script.rpy	439	alla "[what]"
start3_6cc6baef	sanya	А откуда они узнали, что я очнулся?	game/script.rpy	441	sanya "[what]"
start3_192dcc12	alla	Хе-хе...	game/script.rpy	445	alla "[what]"
start3_a22db336	sanya	Спасибо, подруга...Тогда пошли, что уж там.	game/script.rpy	447	sanya "[what]"
start3_e0c28a3e	sanya	Фух, как же я люблю это место.	game/script.rpy	454	sanya "[what]"
start3_95883de1	alla	Именно поэтому появляешься тут раз в полгода?	game/script.rpy	456	alla "[what]"
start3_deb802a0	sanya	Любить из дома намного приятнее.	game/script.rpy	458	sanya "[what]"
start3_394bc230	sanya	Неожиданно я почувствовал, как кто-то хлопает меня по плечу. Обернувшись, я увидел своего старого друга – Семёна.	game/script.rpy	460	sanya "[what]"
start3_95f462cb	semen	Ё-маё, кого я вижу. Саня, неужели это ты? Как ты поживаешь?	game/script.rpy	466	semen "[what]"
start3_e318dc23	sanya	Привет, Семён. Всё супер, чувствую себя прекрасно. Только вот...	game/script.rpy	468	sanya "[what]"
start3_2cada4c5		Перебив меня, Семён продолжил.	game/script.rpy	470	"[what]"
start3_4f6d09de	semen	Это как надо было умудриться, придя впервые за полгода в институт, отравиться на перемене шаурмой и два часа не выходить из туалета, ё-маё.	game/script.rpy	474	semen "[what]"
start3_3b235ae9	semen	А потом еще в больнице пролежать без сознания месяц. Когда об этом узнали ребята с потока, ржали весь день.	game/script.rpy	476	semen "[what]"
start3_cb824ad2	semen	Теперь ты у нас местная легенда, говорят, что после тебя еще неделю никто не заходил в этот туалет, ё-маё.	game/script.rpy	480	semen "[what]"
start3_d9a1aa70	sanya	А откуда об этом все узнали?	game/script.rpy	482	sanya "[what]"
start3_a6a30ae3	alla	Упс, хе-хе.	game/script.rpy	488	alla "[what]"
start3_865becf2	sanya	Вариант с отчислением теперь не кажется мне настолько плохим...	game/script.rpy	490	sanya "[what]"
start3_c0515036		Пока мы болтали, незаметно пролетело время, вот-вот должна была начаться последняя пара.	game/script.rpy	492	"[what]"
start3_238bc87e	alla	Ну что, пора заходить.	game/script.rpy	496	alla "[what]"
start3_05b07702		Уже почти подойдя ко входу, краем глаза я заметил некий пушистый комок, сидящий на ближайшем ко входу дереве.	game/script.rpy	500	"[what]"
start3_9c488063		Приглядевшись, я разглядел рыжего кота, который вот-вот собирался прыгнуть.	game/script.rpy	506	"[what]"
start3_76c9a5b8	cat	Мяууууу	game/script.rpy	512	cat "[what]"
help_7f481683		Я подошёл к дереву. Ветка, на которой сидел котик была на пару сантиметров выше моего роста, так что я свободно мог дотянуться до рыжего создания.	game/script.rpy	530	"[what]"
help_91492a18	sanya	Иди сюда, рыжик.	game/script.rpy	532	sanya "[what]"
help_27d35875		Кот, смотря на меня, так громко зашипел и встал на дыбы. Я попробовал подойти чуть ближе.	game/script.rpy	540	"[what]"
help_8433f776		В этот момент кот, продолжая шипеть, сам спрыгнул с ветки, приземлился на четыре лапы и побежал прочь.	game/script.rpy	544	"[what]"
watch_781cde0c		Решив, что ничем помочь я не смогу, я просто продолжил смотреть, что произойдет дальше.	game/script.rpy	552	"[what]"
watch_725101b8		Однако, моя подруга думала по-другому, поэтому сразу же понеслась к бедному животному и аккуратно помогла ему спуститься.	game/script.rpy	558	"[what]"
watch_238a86d9		Рыжий кот, опустившись на землю, обвился у ног своей спасительницы и начал мурлыкать.	game/script.rpy	564	"[what]"
watch_574bbd79		Мы с Семёном решили подойти, но как только кот увидел меня, он зашипел и попятился назад.	game/script.rpy	568	"[what]"
start4_21558c98	sanya	Странно, обычно животные спокойно ко мне относятся, а этот...Видимо бешеный.	game/script.rpy	576	sanya "[what]"
start4_243f3688	alla	Не расстраивайся, ты хотя бы попытался помочь.	game/script.rpy	580	alla "[what]"
start4_0067a56c	semen	Стопудово, он увидел в тебе соперника. Вот у вас даже глаза одинакового цвета.	game/script.rpy	586	semen "[what]"
start4_88816760	sanya	Что?	game/script.rpy	588	sanya "[what]"
start4_98de5504	alla	А, точно, тоже хотела спросить, как давно ты носишь зеленые линзы, ведь раньше у тебя были серые глаза.	game/script.rpy	594	alla "[what]"
start4_4907c3b2		Точно, ещё в больнице, смотря в зеркало, я заметил что-то странное. Почему мои глаза стали зелёными?	game/script.rpy	596	"[what]"
start4_a20cefa7		...	game/script.rpy	604	"[what]"
start4_34369362	autokrat	Евклид, не забывай своё предназначение. Империя рассчитывает на тебя.	game/script.rpy	610	autokrat "[what]"
start4_63b516fa	sanya	Опять этот странный мужской голос пронзил мои уши. Ещё чуть-чуть и голова бы взорвалась.	game/script.rpy	614	sanya "[what]"
start4_90f2c6ff	euklid	В АТАКУ!	game/script.rpy	618	euklid "[what]"
start4_e7ca1708	warrior	Слушаемся, генерал!	game/script.rpy	624	warrior "[what]"
start4_e27cc87a		Спустя несколько минут оглушающий лязг мечей и стоны врагов прекратились.	game/script.rpy	632	"[what]"
start4_a3bc0f9e	euklid	ПЛАНЕТА ЕТ-5681 ЗАХВАЧЕНА!	game/script.rpy	636	euklid "[what]"
start4_04d01300	warrior	Ура! Славься великая раса Сигмусов!	game/script.rpy	640	warrior "[what]"
start4_7e47206d		Со всех сторон послышались восхищенные вопли моих подчинённых. Понимая, что моя миссия выполнена, я наконец-то вздохнул с облегчением.	game/script.rpy	642	"[what]"
start4_d473ce1c	warrior	Генерал, мне только что передали, что великий император желает вас видеть.	game/script.rpy	644	warrior "[what]"
start4_c34b7497	euklid	Хорошо, тогда оставшиеся дела я поручаю тебе.	game/script.rpy	646	euklid "[what]"
start4_d09f761a		Покинув захваченную территорию, я телепортировался в замок Великого императора.	game/script.rpy	652	"[what]"
start4_e4cd9849	euklid	Да здравствует его величество Великий император Автократ!	game/script.rpy	660	euklid "[what]"
start4_9d27414f	autokrat	Здравствуй, Евклид. Я очень доволен тобой, с момента нападения на ЕТ-5681 прошло всего три месяца, а планета уже захвачена.	game/script.rpy	662	autokrat "[what]"
start4_00dc9632	euklid	Великий Император, это полностью заслуга нашей армии.	game/script.rpy	664	euklid "[what]"
start4_0221a09b	autokrat	Евклид, ты же знаешь, что мне уже 566 лет. Увы, вечно править я не могу, поэтому я ищу человека, которому могу передать трон.	game/script.rpy	666	autokrat "[what]"
start4_9989de06		Грозный мужчина на секунду остановился, оценочно оглядел меня с ног до головы и продолжил свою речь.	game/script.rpy	668	"[what]"
start4_10551ec2	autokrat	И ты больше всего подходишь на эту роль.	game/script.rpy	670	autokrat "[what]"
start4_02e84dcd	euklid	Великий император, да как я смею даже думать об этом.	game/script.rpy	672	euklid "[what]"
start4_53f4c454	autokrat	НЕ СПОРЬ СО МНОЙ! Раз я сказал, то так и будет.	game/script.rpy	676	autokrat "[what]"
start4_6d35dd46	euklid	Слушаюсь, повелитель.	game/script.rpy	678	euklid "[what]"
start4_3a21bdbd	autokrat	Ты же в курсе о моей давней мечте? Планета Терра, иначе называемая Землей.	game/script.rpy	680	autokrat "[what]"
start4_f7acacea	autokrat	Когда я был еще совсем юным, примерно твоего возраста, мы с моими братьями пытались её захватить, но, как видишь, безуспешно.	game/script.rpy	682	autokrat "[what]"
start4_7af63bc2	autokrat	Ты знаешь откуда у меня эти шрамы?	game/script.rpy	684	autokrat "[what]"
start4_46d852d4	euklid	Его величество получил их в войне?	game/script.rpy	686	euklid "[what]"
start4_40f32270	autokrat	Нет, этот шрам мне оставило чудовище, которое обитает на этой планете. Местные жители держат их в качестве домашних животных и называют котиками...Что за суровые люди там живут.	game/script.rpy	688	autokrat "[what]"
start4_c17ff89f	autokrat	Итак, Евклид, если ты взломаешь волшебный камень, который контролирует этих чудовищ, то станешь следующим императором Сигмусов. Согласен ли ты?	game/script.rpy	690	autokrat "[what]"
refuse_48ed6fe0	euklid	Великий император, мне очень лестны ваши слова, но я, пожалуй, откажусь. Думаю, что не справлюсь с данной задачей.	game/script.rpy	704	euklid "[what]"
refuse_f01969df	euklid	К тому же на Венере открыли новую базу отдыха, я как раз хотел взять отпуск после захвата...	game/script.rpy	706	euklid "[what]"
refuse_7e8a3618	autokrat	Я же говорил не спорить со мной.	game/script.rpy	708	autokrat "[what]"
refuse_83766089	autokrat	Или ты отправляешься на миссию, или будешь гнить до конца своей жизни в межгалактической тюрьме.	game/script.rpy	710	autokrat "[what]"
refuse_4548b5f2		*Оказаться в межгалактической тюрьме, в которой отбывали свои сроки бывшие короли планет, завоеванных Сигмусами, было сравни смертному приговору.*	game/script.rpy	712	"[what]"
refuse_78121a8d	euklid	Хорошо, я согласен.	game/script.rpy	716	euklid "[what]"
accept_d93478a1	euklid	Буду рад служить, Великий император.	game/script.rpy	722	euklid "[what]"
accept_4ba6c176	autokrat	Я в тебе не сомневался, Евклид. По нашим данным, волшебный камень находится в месте, которое люди называют «институт».	game/script.rpy	724	autokrat "[what]"
accept_28a95ddd	autokrat	Я вселю тебя в тело местного жителя, и ты должен найти и взломать камень.	game/script.rpy	726	autokrat "[what]"
accept_5d29c94c	euklid	Слушаюсь, Великий император.	game/script.rpy	728	euklid "[what]"
accept_34369362	autokrat	Евклид, не забывай своё предназначение. Империя рассчитывает на тебя.	game/script.rpy	732	autokrat "[what]"
start5_4254a3c9	alla	Саша, ты в порядке? Быстрее вызывайте скорую!	game/script.rpy	744	alla "[what]"
start5_3e160896		Я открыл глаза, передо мной предстало заплаканное лицо блондинки.	game/script.rpy	746	"[what]"
start5_025d3e19		Я быстро сориентировался где я нахожусь, повезло, что воспоминания бывшего владельца тела не исчезли вместе с его душой.	game/script.rpy	752	"[what]"
start5_248e7c79	euklid	Я в норме, не надо никакой скорой.	game/script.rpy	754	euklid "[what]"
start5_df93887b	alla	Саша, боже мой, ты так меня напугал, когда резко упал в обморок.	game/script.rpy	758	alla "[what]"
start5_0dce8031	alla	Ты был прав, не стоило тебе идти сегодня на пары, прости меня.	game/script.rpy	760	alla "[what]"
start5_cb6d46d8	semen	Ё-маё, ты так эпично шлёпнулся о землю, жаль не получилось на заснять это на память.	game/script.rpy	766	semen "[what]"
start5_5939cac0	alla	Семён, думай о чём говоришь, иначе шлёпнешься уже ты.	game/script.rpy	774	alla "[what]"
start5_685a6c89	euklid	Да ничего страшного, не злись на него. И в правду глупо получилось, я просто не удержал равновесие и упал на ровном месте, видимо головушкой стукнулся и отключился.	game/script.rpy	776	euklid "[what]"
start5_b7bf9582	euklid	Пойдёмте быстрее на пару.	game/script.rpy	780	euklid "[what]"
start5_12ee3118	alla	Тебе надо сначала сходить к врачу, вдруг сотрясение.	game/script.rpy	782	alla "[what]"
start5_ae71cb30	euklid	Я же говорю, что чувствую себя хорошо, идём быстрее.	game/script.rpy	784	euklid "[what]"
start5_b9fa9c9c	euklid	Вау, здешние технологии выглядят довольно продвинутыми!	game/script.rpy	790	euklid "[what]"
start5_172194cc	euklid	А еще здесь довольно шумно!	game/script.rpy	792	euklid "[what]"
start5_569574b4		Зайдя внутрь аудитории я вновь был удивлён, только уже не размерам, а оборудованию, которое там находилось.	game/script.rpy	794	"[what]"
start5_03afa6ad		Зайдя внутрь аудитории, я решил занять место поближе к первому ряду. Дойдя до второго ряда, я устроился поудобнее. Семён и Алла сели рядом со мной.	game/script.rpy	798	"[what]"
start5_0c542b7c	alla_s	Почему ты вдруг решил сесть так близко, раньше ты обычно занимал последние ряды.	game/script.rpy	800	alla_s amazed "[what]"
start5_49ea14ae	semen_s	Ага, говорил, что это идеальное место, чтобы отоспаться.	game/script.rpy	802	semen_s amazed "[what]"
start5_23806fbb	euklid	Хочу взяться за ум и стать хорошим специалистом.	game/script.rpy	804	euklid "[what]"
start5_86af5eb3		Ребята резко начали громко смеяться.	game/script.rpy	808	"[what]"
start5_89ec47d7	semen_s	Скажешь тоже, стать хорошим специалистом, ах-ха-ха.	game/script.rpy	810	semen_s laugh "[what]"
start5_5e7bb3d8	alla_s	Ага, быстрее Семён съедет от мамы, чем ты получишь оценку выше 2, хе-хе.	game/script.rpy	812	alla_s smile2 "[what]"
start5_f3f9f448	semen_s	Эй, про маму было лишнее.	game/script.rpy	816	semen_s angry "[what]"
start5_1a358072	alla_s	Прости-прости…	game/script.rpy	818	alla_s smile "[what]"
start5_0ab8b3b1		Вдруг чья-то рука похлопала Аллу по плечу.	game/script.rpy	820	"[what]"
start5_e7a12af4	student1	Молодые люди, я вообще-то учиться сюда пришёл, а не слушать вашу болтовню.	game/script.rpy	822	student1 sad "[what]"
start5_ae083c64	semen_s	Ну так и не слушай, в чём проблема?	game/script.rpy	824	semen_s smile "[what]"
start5_2c103278		Внезапно в диалог вмешался парень, сидящий рядом с недовольным студентом.	game/script.rpy	826	"[what]"
start5_83327667	student2	Он прав, Олежик. Тем более преподавателя пока нет, расслабься. Хочешь я сделаю тебе массаж?	game/script.rpy	828	student2 horny "[what]"
start5_3afdfd6c	oleg	Райан, ты на чьей стороне?	game/script.rpy	830	oleg amazed "[what]"
start5_fc9e67ff	oleg	И вообще, отстань от меня, мы находимся в новелле с возрастным ограничением 12+, если продолжишь в том же духе, у авторов могут возникнуть проблемы.	game/script.rpy	832	oleg careless "[what]"
start5_e460e88b	rayan	Хо-хо-хо, молчу-молчу, любишь ты говорить какие-то странные вещи.	game/script.rpy	834	rayan glad "[what]"
start5_91b40ebe		Я удивлённо посмотрел на Аллу и Семёна.	game/script.rpy	836	"[what]"
start5_1d97478f	semen_s	А что ты хотел? На радиофаке дефицит девочек, ребята выкручиваются как могут.	game/script.rpy	838	semen_s laugh "[what]"
start5_eb68ad0c	oleg	Эй, вы сейчас про нас болтаете?	game/script.rpy	840	oleg angry "[what]"
start5_280a5932		Чувствуя, что обстановка накаляется до предела, я обернулся лицом к недовольному парню и посмотрел прямо в глаза.	game/script.rpy	842	"[what]"
start5_0eeb6c72	euklid	Забудь всё то, что сейчас было и займись своими делами	game/script.rpy	844	euklid "[what]"
start5_3ff43ec6		Он на секунду закрыл глаза, а потом как ни в чем не бывало стал что-то писать в своей тетради.	game/script.rpy	846	"[what]"
start5_7373dc10		Хорошо, что хоть какие-то способности у меня остались	game/script.rpy	848	"[what]"
start5_21787bba		Повернувшись обратно, я заметил на себе взгляд Семёна.	game/script.rpy	850	"[what]"
start5_335a8940		Он оглядел меня с ног до головы, остановил свой взгляд на глазах и что-то пробормотал себе под нос.	game/script.rpy	852	"[what]"
start5_ffe33df4	semen_s	Подозрительно…	game/script.rpy	854	semen_s podoz "[what]"
start5_75551936		В этот момент в аудиторию вошёл высокий, подкаченный мужчина. На вид ему было лет 50.	game/script.rpy	860	"[what]"
start5_08aa4d5c	npc	Привет, молодёжь, или как мы с вами любим говорить по-модному привет-медвед, молодёжь.	game/script.rpy	864	npc "[what]"
start5_30582514		В аудитории воцарилась давящая тишина, казалось, что можно услышать взмах крыльев бабочки, порхающей за окном.	game/script.rpy	866	"[what]"
start5_44ae00f2	semen_s	Дед опять за старое…	game/script.rpy	868	semen_s smile "[what]"
start5_09d5f75c	npc	Ох, ну ладно. Для тех, кто не в курсе, звать меня Святогор Великанович, я ваш преподаватель по информационной безопасности.	game/script.rpy	870	npc "[what]"
start5_acc53be5	teacher	Вот мой номер +797777777.... и моя почта nenavizhu.yashcherov@mail.ru, если вам будет грустно и одиноко, вам будет не с кем поговорить, свяжитесь со мной.	game/script.rpy	872	teacher "[what]"
start5_b3b389c0	teacher	А, ну и по вопросам учебы тоже.	game/script.rpy	874	teacher "[what]"
start5_a8700f5c	teacher	А теперь начнём и саму пару, а именно с теории. Начнём с простого, кто скажет мне определение Информационной безопасности?	game/script.rpy	876	teacher "[what]"
start5_0a73ac89		Семён резко потянул руку вверх, надеясь ответить раньше, чем кто-либо.	game/script.rpy	878	"[what]"
start5_354b3233	semen_s	Информационная безопасность - это охрана информации от различных угроз по типу кражи или уничтожения.	game/script.rpy	880	semen_s smile "[what]"
start5_194c48a4	teacher	Ого, думающая голова, правильно говорите.	game/script.rpy	882	teacher "[what]"
start5_59bf7007	teacher	Так, а может кто-нибудь назвать мне основную задачу информационной безопасности?	game/script.rpy	884	teacher "[what]"
start5_9d212610		Семён вновь потянул руку.	game/script.rpy	886	"[what]"
start5_fed6031e	teacher	Так, ну что же, Cемён, извольте же вновь ответить на мой вопрос!	game/script.rpy	888	teacher "[what]"
start5_209b94c6	semen_s	Задача информационной безопасности - защитить данные, сохраняя производительность компании.	game/script.rpy	890	semen_s smile "[what]"
start5_66edf5a8	teacher	Вау, вы меня удивляете всё больше и больше!	game/script.rpy	892	teacher "[what]"
start5_570863c0	teacher	Может тогда назовёте нам ещё и как эта задача достигается?	game/script.rpy	894	teacher "[what]"
start5_a426816f	semen_s	Она достигается путем управления рисками, включающего идентификацию средств, активов, анализ угроз, уязвимостей и прочего.	game/script.rpy	896	semen_s smile "[what]"
start5_136a0fbb	teacher	А этот парень точно метит на 100 баллов! Cпасибо, Семён, за ваш ответ, можете больше не отвечать, а то всё-таки я преподаватель, а не вы.	game/script.rpy	898	teacher "[what]"
start5_6bd406b8		Святогор Великанович с улыбкой усмехнулся и продолжил дальнейшую тему сам.	game/script.rpy	900	"[what]"
